instruction,input,output
"Use only one of the following options, if none of them is suitable return Unknown. Options: a chair with a spindle backrest, a chair with a thick seat, a chair with short legs, a chair with two legs, a chair with a thin seat, a chair without a legs strecher, a chair with long legs, a chair with a rounded backrest, a chair with four legs, a chair with a curved backrest, a chair with a solid backrest, a chair without armrests, a chair with thin legs, a chair with armrests, a chair with a squared backrest, a chair with a legs strecher, a chair with thick legs, a chair with a straight backrest, a chair with a short backrest, a chair with a wide seat, a chair with a long backrest, a chair with a narrow seat.",Can you rewrite please the following description of a chair? Description: Target chair is smaller and lower to the ground..,Unknown
"Use only one of the following options, if none of them is suitable return Unknown. Options: a chair with a spindle backrest, a chair with a thick seat, a chair with short legs, a chair with two legs, a chair with a thin seat, a chair without a legs strecher, a chair with long legs, a chair with a rounded backrest, a chair with four legs, a chair with a curved backrest, a chair with a solid backrest, a chair without armrests, a chair with thin legs, a chair with armrests, a chair with a squared backrest, a chair with a legs strecher, a chair with thick legs, a chair with a straight backrest, a chair with a short backrest, a chair with a wide seat, a chair with a long backrest, a chair with a narrow seat.",Can you rewrite please the following description of a chair? Description: The target chair is part of a row of waiting chairs..,Unknown
"Use only one of the following options, if none of them is suitable return Unknown. Options: a chair with a spindle backrest, a chair with a thick seat, a chair with short legs, a chair with two legs, a chair with a thin seat, a chair without a legs strecher, a chair with long legs, a chair with a rounded backrest, a chair with four legs, a chair with a curved backrest, a chair with a solid backrest, a chair without armrests, a chair with thin legs, a chair with armrests, a chair with a squared backrest, a chair with a legs strecher, a chair with thick legs, a chair with a straight backrest, a chair with a short backrest, a chair with a wide seat, a chair with a long backrest, a chair with a narrow seat.",Can you rewrite please the following description of a chair? Description: It is shorter.,Unknown
"Use only one of the following options, if none of them is suitable return Unknown. Options: a chair with a spindle backrest, a chair with a thick seat, a chair with short legs, a chair with two legs, a chair with a thin seat, a chair without a legs strecher, a chair with long legs, a chair with a rounded backrest, a chair with four legs, a chair with a curved backrest, a chair with a solid backrest, a chair without armrests, a chair with thin legs, a chair with armrests, a chair with a squared backrest, a chair with a legs strecher, a chair with thick legs, a chair with a straight backrest, a chair with a short backrest, a chair with a wide seat, a chair with a long backrest, a chair with a narrow seat.",Can you rewrite please the following description of a chair? Description: It has spindles.,a chair with a spindle backrest
"Use only one of the following options, if none of them is suitable return Unknown. Options: a chair with a spindle backrest, a chair with a thick seat, a chair with short legs, a chair with two legs, a chair with a thin seat, a chair without a legs strecher, a chair with long legs, a chair with a rounded backrest, a chair with four legs, a chair with a curved backrest, a chair with a solid backrest, a chair without armrests, a chair with thin legs, a chair with armrests, a chair with a squared backrest, a chair with a legs strecher, a chair with thick legs, a chair with a straight backrest, a chair with a short backrest, a chair with a wide seat, a chair with a long backrest, a chair with a narrow seat.",Can you rewrite please the following description of a chair? Description: The target chairs' back has a large trapezoid cutout..,a chair with a spindle backrest
"Use only one of the following options, if none of them is suitable return Unknown. Options: a chair with a spindle backrest, a chair with a thick seat, a chair with short legs, a chair with two legs, a chair with a thin seat, a chair without a legs strecher, a chair with long legs, a chair with a rounded backrest, a chair with four legs, a chair with a curved backrest, a chair with a solid backrest, a chair without armrests, a chair with thin legs, a chair with armrests, a chair with a squared backrest, a chair with a legs strecher, a chair with thick legs, a chair with a straight backrest, a chair with a short backrest, a chair with a wide seat, a chair with a long backrest, a chair with a narrow seat.",Can you rewrite please the following description of a chair? Description: The target chair is made of wire..,Unknown
"Use only one of the following options, if none of them is suitable return Unknown. Options: a chair with a spindle backrest, a chair with a thick seat, a chair with short legs, a chair with two legs, a chair with a thin seat, a chair without a legs strecher, a chair with long legs, a chair with a rounded backrest, a chair with four legs, a chair with a curved backrest, a chair with a solid backrest, a chair without armrests, a chair with thin legs, a chair with armrests, a chair with a squared backrest, a chair with a legs strecher, a chair with thick legs, a chair with a straight backrest, a chair with a short backrest, a chair with a wide seat, a chair with a long backrest, a chair with a narrow seat.",Can you rewrite please the following description of a chair? Description: It has a pillow on it.,Unknown
"Use only one of the following options, if none of them is suitable return Unknown. Options: a chair with a spindle backrest, a chair with a thick seat, a chair with short legs, a chair with two legs, a chair with a thin seat, a chair without a legs strecher, a chair with long legs, a chair with a rounded backrest, a chair with four legs, a chair with a curved backrest, a chair with a solid backrest, a chair without armrests, a chair with thin legs, a chair with armrests, a chair with a squared backrest, a chair with a legs strecher, a chair with thick legs, a chair with a straight backrest, a chair with a short backrest, a chair with a wide seat, a chair with a long backrest, a chair with a narrow seat.",Can you rewrite please the following description of a chair? Description: the back legs are a flat piece.,Unknown
"Use only one of the following options, if none of them is suitable return Unknown. Options: a chair with a spindle backrest, a chair with a thick seat, a chair with short legs, a chair with two legs, a chair with a thin seat, a chair without a legs strecher, a chair with long legs, a chair with a rounded backrest, a chair with four legs, a chair with a curved backrest, a chair with a solid backrest, a chair without armrests, a chair with thin legs, a chair with armrests, a chair with a squared backrest, a chair with a legs strecher, a chair with thick legs, a chair with a straight backrest, a chair with a short backrest, a chair with a wide seat, a chair with a long backrest, a chair with a narrow seat.",Can you rewrite please the following description of a chair? Description: It has a top rail..,Unknown
"Use only one of the following options, if none of them is suitable return Unknown. Options: a chair with a spindle backrest, a chair with a thick seat, a chair with short legs, a chair with two legs, a chair with a thin seat, a chair without a legs strecher, a chair with long legs, a chair with a rounded backrest, a chair with four legs, a chair with a curved backrest, a chair with a solid backrest, a chair without armrests, a chair with thin legs, a chair with armrests, a chair with a squared backrest, a chair with a legs strecher, a chair with thick legs, a chair with a straight backrest, a chair with a short backrest, a chair with a wide seat, a chair with a long backrest, a chair with a narrow seat.",Can you rewrite please the following description of a chair? Description: the seat is thicker.,a chair with a thick seat
"Use only one of the following options, if none of them is suitable return Unknown. Options: a chair with a spindle backrest, a chair with a thick seat, a chair with short legs, a chair with two legs, a chair with a thin seat, a chair without a legs strecher, a chair with long legs, a chair with a rounded backrest, a chair with four legs, a chair with a curved backrest, a chair with a solid backrest, a chair without armrests, a chair with thin legs, a chair with armrests, a chair with a squared backrest, a chair with a legs strecher, a chair with thick legs, a chair with a straight backrest, a chair with a short backrest, a chair with a wide seat, a chair with a long backrest, a chair with a narrow seat.",Can you rewrite please the following description of a chair? Description: The chair legs are narrower.,Unknown
"Use only one of the following options, if none of them is suitable return Unknown. Options: a chair with a spindle backrest, a chair with a thick seat, a chair with short legs, a chair with two legs, a chair with a thin seat, a chair without a legs strecher, a chair with long legs, a chair with a rounded backrest, a chair with four legs, a chair with a curved backrest, a chair with a solid backrest, a chair without armrests, a chair with thin legs, a chair with armrests, a chair with a squared backrest, a chair with a legs strecher, a chair with thick legs, a chair with a straight backrest, a chair with a short backrest, a chair with a wide seat, a chair with a long backrest, a chair with a narrow seat.",Can you rewrite please the following description of a chair? Description: The target has shorter legs..,a chair with short legs
"Use only one of the following options, if none of them is suitable return Unknown. Options: a chair with a spindle backrest, a chair with a thick seat, a chair with short legs, a chair with two legs, a chair with a thin seat, a chair without a legs strecher, a chair with long legs, a chair with a rounded backrest, a chair with four legs, a chair with a curved backrest, a chair with a solid backrest, a chair without armrests, a chair with thin legs, a chair with armrests, a chair with a squared backrest, a chair with a legs strecher, a chair with thick legs, a chair with a straight backrest, a chair with a short backrest, a chair with a wide seat, a chair with a long backrest, a chair with a narrow seat.",Can you rewrite please the following description of a chair? Description: It has two legs..,a chair with two legs
"Use only one of the following options, if none of them is suitable return Unknown. Options: a chair with a spindle backrest, a chair with a thick seat, a chair with short legs, a chair with two legs, a chair with a thin seat, a chair without a legs strecher, a chair with long legs, a chair with a rounded backrest, a chair with four legs, a chair with a curved backrest, a chair with a solid backrest, a chair without armrests, a chair with thin legs, a chair with armrests, a chair with a squared backrest, a chair with a legs strecher, a chair with thick legs, a chair with a straight backrest, a chair with a short backrest, a chair with a wide seat, a chair with a long backrest, a chair with a narrow seat.",Can you rewrite please the following description of a chair? Description: The target is foldable..,Unknown
"Use only one of the following options, if none of them is suitable return Unknown. Options: a chair with a spindle backrest, a chair with a thick seat, a chair with short legs, a chair with two legs, a chair with a thin seat, a chair without a legs strecher, a chair with long legs, a chair with a rounded backrest, a chair with four legs, a chair with a curved backrest, a chair with a solid backrest, a chair without armrests, a chair with thin legs, a chair with armrests, a chair with a squared backrest, a chair with a legs strecher, a chair with thick legs, a chair with a straight backrest, a chair with a short backrest, a chair with a wide seat, a chair with a long backrest, a chair with a narrow seat.",Can you rewrite please the following description of a chair? Description: Its seat surface is much thinner..,a chair with a thin seat
"Use only one of the following options, if none of them is suitable return Unknown. Options: a chair with a spindle backrest, a chair with a thick seat, a chair with short legs, a chair with two legs, a chair with a thin seat, a chair without a legs strecher, a chair with long legs, a chair with a rounded backrest, a chair with four legs, a chair with a curved backrest, a chair with a solid backrest, a chair without armrests, a chair with thin legs, a chair with armrests, a chair with a squared backrest, a chair with a legs strecher, a chair with thick legs, a chair with a straight backrest, a chair with a short backrest, a chair with a wide seat, a chair with a long backrest, a chair with a narrow seat.",Can you rewrite please the following description of a chair? Description: It does not have roller wheels..,Unknown
"Use only one of the following options, if none of them is suitable return Unknown. Options: a chair with a spindle backrest, a chair with a thick seat, a chair with short legs, a chair with two legs, a chair with a thin seat, a chair without a legs strecher, a chair with long legs, a chair with a rounded backrest, a chair with four legs, a chair with a curved backrest, a chair with a solid backrest, a chair without armrests, a chair with thin legs, a chair with armrests, a chair with a squared backrest, a chair with a legs strecher, a chair with thick legs, a chair with a straight backrest, a chair with a short backrest, a chair with a wide seat, a chair with a long backrest, a chair with a narrow seat.",Can you rewrite please the following description of a chair? Description: Single rail with cushion.,Unknown
"Use only one of the following options, if none of them is suitable return Unknown. Options: a chair with a spindle backrest, a chair with a thick seat, a chair with short legs, a chair with two legs, a chair with a thin seat, a chair without a legs strecher, a chair with long legs, a chair with a rounded backrest, a chair with four legs, a chair with a curved backrest, a chair with a solid backrest, a chair without armrests, a chair with thin legs, a chair with armrests, a chair with a squared backrest, a chair with a legs strecher, a chair with thick legs, a chair with a straight backrest, a chair with a short backrest, a chair with a wide seat, a chair with a long backrest, a chair with a narrow seat.",Can you rewrite please the following description of a chair? Description: the legs are short.,a chair with short legs
"Use only one of the following options, if none of them is suitable return Unknown. Options: a chair with a spindle backrest, a chair with a thick seat, a chair with short legs, a chair with two legs, a chair with a thin seat, a chair without a legs strecher, a chair with long legs, a chair with a rounded backrest, a chair with four legs, a chair with a curved backrest, a chair with a solid backrest, a chair without armrests, a chair with thin legs, a chair with armrests, a chair with a squared backrest, a chair with a legs strecher, a chair with thick legs, a chair with a straight backrest, a chair with a short backrest, a chair with a wide seat, a chair with a long backrest, a chair with a narrow seat.",Can you rewrite please the following description of a chair? Description: it is not a lounge chair.,Unknown
"Use only one of the following options, if none of them is suitable return Unknown. Options: a chair with a spindle backrest, a chair with a thick seat, a chair with short legs, a chair with two legs, a chair with a thin seat, a chair without a legs strecher, a chair with long legs, a chair with a rounded backrest, a chair with four legs, a chair with a curved backrest, a chair with a solid backrest, a chair without armrests, a chair with thin legs, a chair with armrests, a chair with a squared backrest, a chair with a legs strecher, a chair with thick legs, a chair with a straight backrest, a chair with a short backrest, a chair with a wide seat, a chair with a long backrest, a chair with a narrow seat.",Can you rewrite please the following description of a chair? Description: The seat sits more level.,Unknown
"Use only one of the following options, if none of them is suitable return Unknown. Options: a chair with a spindle backrest, a chair with a thick seat, a chair with short legs, a chair with two legs, a chair with a thin seat, a chair without a legs strecher, a chair with long legs, a chair with a rounded backrest, a chair with four legs, a chair with a curved backrest, a chair with a solid backrest, a chair without armrests, a chair with thin legs, a chair with armrests, a chair with a squared backrest, a chair with a legs strecher, a chair with thick legs, a chair with a straight backrest, a chair with a short backrest, a chair with a wide seat, a chair with a long backrest, a chair with a narrow seat.",Can you rewrite please the following description of a chair? Description: The seat is more conformed to the body.,Unknown
"Use only one of the following options, if none of them is suitable return Unknown. Options: a chair with a spindle backrest, a chair with a thick seat, a chair with short legs, a chair with two legs, a chair with a thin seat, a chair without a legs strecher, a chair with long legs, a chair with a rounded backrest, a chair with four legs, a chair with a curved backrest, a chair with a solid backrest, a chair without armrests, a chair with thin legs, a chair with armrests, a chair with a squared backrest, a chair with a legs strecher, a chair with thick legs, a chair with a straight backrest, a chair with a short backrest, a chair with a wide seat, a chair with a long backrest, a chair with a narrow seat.",Can you rewrite please the following description of a chair? Description: The target chair legs have many ornate baluster turnings..,Unknown
